id,user_id,user_name,opening_cash,closing_cash,cash_sales,expected_cash,difference,status,opened_at,closed_at,online_sales,cash_paid_out,expenses
059973fb-f039-42c5-901e-6c77462f7fb9,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,8790,15630,13429.0,15549.0,81.0,closed,2026-08-11T03:58:32.37163+00:00,2026-08-11T15:02:59.337763+00:00,200.0,6370,300
c9fe0214-b133-414d-b64e-58831f5eb1e2,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,15630,13970,12370.0,13970.0,0.0,closed,2026-08-11T15:03:27.661115+00:00,2026-08-12T04:36:22.957139+00:00,780.0,1880,12150
1219f53e-f0f2-4d11-8bf2-3d58394d2e13,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,13970,18040,16160.0,18040.0,0.0,closed,2026-08-12T04:37:01.378619+00:00,2026-08-12T15:44:54.674312+00:00,1880.0,12090,0
a5c179ea-f038-4e50-a9a7-bee6c4b2a8db,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,18040,6000,7590.0,5990.0,10.0,closed,2026-08-12T15:45:26.497968+00:00,2026-08-13T04:04:12.284415+00:00,110.0,14500,5140
91b69460-82ac-42ae-a9a8-d754a61ce42e,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,6000,24950,22435.0,24945.0,5.0,closed,2026-08-13T04:05:01.715007+00:00,2026-08-13T15:42:03.772339+00:00,928.0,3040,450
c247ff51-d065-475f-8fb1-d1ac666bcef7,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,24950,37900,12945.0,37895.0,5.0,closed,2026-08-13T15:42:34.421268+00:00,2026-08-14T04:26:15.58403+00:00,850.0,0,0
edd13119-ddd3-41d5-a5f4-66de06387da2,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,37900,8440,19380.0,8435.0,5.0,closed,2026-08-14T04:26:43.314685+00:00,2026-08-14T15:45:53.842182+00:00,1160.0,29040,19805
ab5186e0-6cd1-4028-867d-a976233a1458,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,8440,11940,7715.0,11935.0,5.0,closed,2026-08-14T15:46:26.482915+00:00,2026-08-15T04:40:53.14637+00:00,1140.0,3940,280
d8338414-dbc5-45a9-846c-d66cdc047e92,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,11940,9170,15922.5,9162.5,7.5,closed,2026-08-15T04:41:20.623322+00:00,2026-08-15T16:12:26.671532+00:00,1188.4,18700,0
e9646a71-d506-4acd-8c76-eaa61da8bfa9,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,9170,11150,7340.0,11140.0,10.0,closed,2026-08-15T16:13:01.76174+00:00,2026-08-16T04:14:09.301325+00:00,0,0,5370
003cdfa9-2e53-4bd2-b966-e58c98e8e50e,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,11150,15820,18686.0,15786.0,34.0,closed,2026-08-16T04:14:39.971245+00:00,2026-08-16T15:22:51.324711+00:00,100.0,13450,600
3fc2162b-3112-452f-a438-22839eac9fe0,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,15820,15820,0,15820,0,closed,2026-08-16T14:19:35.000277+00:00,2026-08-16T14:20:43.859805+00:00,0,0,0
b062c998-bc7f-49b5-8665-1c7fd4724790,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,15820,8400,11880.0,8400.0,0.0,closed,2026-08-16T14:21:11.355101+00:00,2026-08-17T03:16:40.915559+00:00,325.0,760,18540
3479e096-5738-47ac-93ff-548bae6864ac,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,8400,13240,15016.0,13236.0,4.0,closed,2026-08-17T03:17:07.780421+00:00,2026-08-17T15:37:41.018066+00:00,0,10180,0
499ee146-ac2b-4222-8efb-d4935fcc146e,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,13240,11530,10331.0,11521.0,9.0,closed,2026-08-17T15:38:18.022354+00:00,2026-08-18T04:33:58.538856+00:00,2470.0,0,12050
36f9bb68-56e8-49f1-a876-47c026bf7919,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,11530,9890,13962.5,9742.5,147.5,closed,2026-08-18T04:34:24.398409+00:00,2026-08-18T15:21:37.938427+00:00,0,15750,0
70fb8503-f917-4827-96bd-d9757a495dd8,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,9890,10850,5960.0,10850.0,0.0,closed,2026-08-18T15:22:08.782604+00:00,2026-08-19T03:09:25.883346+00:00,1580.0,0,5000
3ed912a6-97a2-463a-bb81-11fe8d738d21,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,10850,6790,17686.0,6756.0,34.0,closed,2026-08-19T03:09:58.801608+00:00,2026-08-19T15:33:55.313478+00:00,200.0,20530,1250
3079ad1f-ccd1-49f5-a1a5-24f7db1fbb74,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,6790,12500,5710.0,12500.0,0.0,closed,2026-08-19T15:34:19.582625+00:00,2026-08-20T03:37:06.646172+00:00,380.0,0,0
c4709d91-a633-44cc-b151-e7112e75b93c,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,12500,2570,11230.0,-24240.0,26810.0,closed,2026-08-20T03:37:31.94311+00:00,2026-08-20T15:39:39.4953+00:00,3121.0,47790,180
650612b2-7f73-4062-9d19-ddb14f3659df,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2570,3760,8638.0,3758.0,2.0,closed,2026-08-20T15:40:04.746419+00:00,2026-08-21T04:13:16.207349+00:00,2520.0,600,6850
d204a25a-e046-45e2-89c1-1c0c532f81f0,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,3760,,0,3760,,open,2026-08-21T04:13:44.693916+00:00,,0,0,0
